cdate,cp,pct_lead,pct_lag1,pct_lag2,pct_lag4,pct_lag8,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy
2012-05-18,38.230,-10.986,0.000,0.000,0.000,0.000,,,,,,,,0.050,0.050
2012-05-21,34.030,-8.904,-10.986,0.000,0.000,0.000,,,,,,,,0.010,0.050
2012-05-22,31.000,3.226,-8.904,-18.912,0.000,0.000,,,,,,,,0.020,0.050
2012-05-23,32.000,3.219,3.226,-5.965,0.000,0.000,-6.421,,,,,,,0.030,0.050
2012-05-24,33.030,-3.391,3.219,6.548,-13.602,0.000,-1.041,-3.998,,,,,,0.040,0.050
2012-05-25,31.910,-9.621,-3.391,-0.281,-6.230,0.000,0.939,-1.657,-3.902,,,,,0.050,0.050
2012-05-29,28.840,-2.254,-9.621,-12.685,-6.968,0.000,-3.370,-1.717,-3.310,-4.921,,,,0.020,0.050
2012-05-30,28.190,5.002,-2.254,-11.658,-11.906,0.000,-5.442,-3.124,-1.825,-3.157,-4.584,,,0.030,0.050
2012-05-31,29.600,-6.351,5.002,2.635,-10.384,-22.574,-2.667,-2.894,-1.583,-0.763,-2.065,-3.471,,0.040,0.050
2012-06-01,27.720,-2.958,-6.351,-1.667,-13.131,-18.542,-1.310,-3.664,-3.631,-2.387,-1.552,-2.604,-3.804,0.050,0.060
2012-06-04,26.900,-3.829,-2.958,-9.122,-6.727,-13.226,-1.532,-1.726,-3.547,-3.540,-2.473,-1.721,-2.649,0.010,0.060
2012-06-05,25.870,3.634,-3.829,-6.674,-8.230,-19.156,-4.634,-2.107,-2.148,-3.614,-3.597,-2.642,-1.943,0.020,0.060
2012-06-06,26.810,-1.865,3.634,-0.335,-9.426,-18.831,-1.144,-2.600,-1.008,-1.230,-2.630,-2.754,-2.005,0.030,0.060
2012-06-07,26.310,3.003,-1.865,1.701,-5.087,-17.549,-0.747,-1.332,-2.462,-1.152,-1.322,-2.543,-2.665,0.040,0.060
2012-06-08,27.100,-0.332,3.003,1.082,0.743,-6.033,1.533,0.189,-0.466,-1.556,-0.573,-0.796,-1.945,0.050,0.060
2012-06-11,27.010,1.444,-0.332,2.661,4.407,-4.186,0.249,1.063,0.083,-0.444,-1.380,-0.543,-0.745,0.010,0.060
2012-06-12,27.400,-0.474,1.444,1.107,2.201,-7.432,1.337,0.547,1.136,0.312,-0.171,-1.023,-0.323,0.020,0.060
2012-06-13,27.270,3.740,-0.474,0.963,3.649,-1.623,0.208,0.883,0.341,0.865,0.197,-0.210,-0.961,0.030,0.060
2012-06-14,28.290,6.080,3.740,3.248,4.391,5.167,1.543,1.082,1.445,0.906,1.272,0.643,0.235,0.040,0.060
2012-06-15,30.010,4.665,6.080,10.048,11.107,16.003,3.050,2.656,2.079,2.215,1.655,1.880,1.264,0.050,0.060
2012-06-18,31.410,1.592,4.665,11.029,14.635,17.158,4.615,3.428,3.048,2.515,2.569,2.046,2.202,0.010,0.060
2012-06-19,31.910,-0.971,1.592,6.331,17.015,21.285,3.879,3.815,3.029,2.780,2.366,2.431,1.987,0.020,0.060
2012-06-20,31.600,0.759,-0.971,0.605,11.700,16.605,1.675,2.649,2.826,2.327,2.208,1.916,2.019,0.030,0.060
2012-06-21,31.840,3.800,0.759,-0.219,6.098,17.882,0.451,1.444,2.264,2.469,2.091,2.015,1.777,0.040,0.060
2012-06-22,33.050,-2.995,3.800,4.589,5.221,20.620,1.181,1.277,1.902,2.508,2.650,2.303,2.214,0.050,0.060
2012-06-25,32.060,3.244,-2.995,0.691,0.470,17.565,0.474,0.117,0.405,1.068,1.699,1.915,1.680,0.010,0.060
2012-06-26,33.100,-2.628,3.244,0.151,4.747,17.002,1.283,1.153,0.736,0.873,1.374,1.886,2.058,0.020,0.060
2012-06-27,32.230,-2.699,-2.628,0.530,1.225,7.398,-0.842,0.299,0.388,0.165,0.363,0.863,1.372,0.030,0.060
2012-06-28,31.360,-0.829,-2.699,-5.257,-5.113,-0.159,-0.724,-1.313,-0.297,-0.124,-0.244,-0.019,0.468,0.040,0.060
2012-06-29,31.100,-1.061,-0.829,-3.506,-2.994,-2.538,-2.112,-0.751,-1.220,-0.384,-0.222,-0.316,-0.108,0.050,0.060
